Source,IslandID,TaxonOrig,GenusL69,SpeciesL69,,SpeciesID,SubspID,Sex,Plumage,,WingL,,,BeakH,,UBeakL,NUBkL
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,81,,,19,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,80,,,19,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,82,,,20,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,82,,,20,,23,16
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,80,,,21,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,79,,,20,,23,15
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,77,,,19,,22,15
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,78,,,19,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,82,,,20,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,75,,,18,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,80,,,19,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,M,Juv.,,80,,,19,,21,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,78,,,18,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,80,,,20,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,78,,,19,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,78,,,18,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,79,,,18,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,78,,,17,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,75,,,19,,22,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,78,,,18,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,78,,,17,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,77,,,18,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,78,,,19,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,78,,,0,,21,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,79,,,18,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,84,,,19,,0,0
Lack CAS,Pnt_Abng,Geospiza magnirostris,Geospiza,magnirostris,,Geo.mag,Geo.mag,F,,,78,,,20,,0,0
